ExecutionTime,Class
1107.00,org.apache.commons.net.SocketClient
890.00,org.apache.commons.net.ftp.FTPClient
729.00,org.apache.commons.net.ftp.FTPClientConfig
3737.00,org.apache.commons.net.ftp.FTP
690.00,org.apache.commons.net.io.CRLFLineReader
562.00,org.apache.commons.net.util.ListenerList
562.00,org.apache.commons.net.ProtocolCommandSupport
320.00,org.apache.commons.net.ftp.FTPReply
242.00,org.apache.commons.net.ftp.FTPCmd
4.00,org.apache.commons.net.ftp.FTPClientConfigFunctionalTest
29750.00,org.apache.commons.net.ftp.parser.RegexFTPFileEntryParserImpl
8935.00,org.apache.commons.net.ftp.parser.FTPTimestampParserImpl
1599.00,org.apache.commons.net.ftp.parser.UnixFTPEntryParser
1725.00,org.apache.commons.net.ftp.parser.ConfigurableFTPFileEntryParserImpl
72.00,org.apache.commons.net.ftp.parser.DefaultFTPFileEntryParserFactory
30.00,org.apache.commons.net.util.Charsets
2078.00,org.apache.commons.net.ftp.FTPFileEntryParserImpl
141.00,org.apache.commons.net.ftp.FTPListParseEngine
28.00,org.apache.commons.net.io.Util
51563.00,org.apache.commons.net.ftp.FTPFile
1516.00,org.apache.commons.net.ftp.FTPFileFilters$2
6.00,org.apache.commons.net.ftp.FTPClientConfigTest
4.00,org.apache.commons.net.ftp.FTPClientTest
371.00,org.apache.commons.net.ftp.parser.VMSFTPEntryParser
3.00,org.apache.commons.net.ftp.FTPClientTest$LocalClient
1.00,org.apache.commons.net.ftp.FTPCommand
1.00,org.apache.commons.net.ftp.FTPCommandTest
148.00,org.apache.commons.net.ftp.ListingFunctionalTest
166.00,org.apache.commons.net.ftp.parser.VMSVersioningFTPEntryParser
54.00,org.apache.commons.net.ftp.parser.NTFTPEntryParser
52.00,org.apache.commons.net.ftp.parser.CompositeFileEntryParser
1.00,org.apache.commons.net.ftp.TestConnectTimeout
